genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000012839	0.0637461113371516	1.9060416356599	0.140404494438873	0.715570695149315	0.92538108999713
ENSGMOG00000010252	0.0320491717445588	6.74700480819015	0.140220913210219	0.715747421866791	0.925482796613408
ENSGMOG00000018977	0.040382308339946	3.19507759509668	0.140168366372836	0.715798031252252	0.925482796613408
ENSGMOG00000001491	0.0257797791832227	5.97628512756636	0.140139209028278	0.715826118251603	0.925482796613408
ENSGMOG00000017368	0.0243505509061089	5.54615407155056	0.139939291027136	0.716018788111905	0.925606786633041
ENSGMOG00000010034	-0.040766673755648	3.9361704128502	0.13990094559829	0.716055761417759	0.925606786633041
ENSGMOG00000015302	-0.0389552829828769	4.19260975576909	0.139659063102246	0.716289123176515	0.925606786633041
ENSGMOG00000000903	-0.0308597369376269	4.67948732950685	0.139653512208932	0.716294481259881	0.925606786633041
ENSGMOG00000015045	-0.0265981930577276	5.09981401862759	0.139648817405844	0.716299013084958	0.925606786633041
ENSGMOG00000003212	-0.0275972473815231	8.35662496994829	0.139648484473341	0.716299334463186	0.925606786633041
ENSGMOG00000008488	0.0471930864802741	2.57491177165388	0.139558245614155	0.716386457888652	0.925606786633041
ENSGMOG00000003101	-0.0283407917564065	6.98377727009425	0.139535486147622	0.716408436720705	0.925606786633041
ENSGMOG00000013324	-0.0401480398007575	3.1244682322978	0.13941294615098	0.716526809154795	0.925606786633041
ENSGMOG00000004444	-0.0301285705676139	4.50605052620223	0.139387298752424	0.716551591867494	0.925606786633041
ENSGMOG00000010405	-0.0241700264527639	5.91247786247609	0.139126325122455	0.716803916279441	0.925606786633041
ENSGMOG00000001328	-0.0538865954976565	2.9867704016441	0.139087573481381	0.716841406824966	0.925606786633041
ENSGMOG00000007393	0.0250729668111275	8.09609193631892	0.139080756690642	0.716848002398274	0.925606786633041
ENSGMOG00000004988	-0.0657339001399563	1.32227018097603	0.139073329578469	0.716855188698681	0.925606786633041
ENSGMOG00000014785	-0.0283546769593007	4.63168403415593	0.138979175887929	0.716946308760288	0.925606786633041
ENSGMOG00000010458	0.0432549455295199	2.72411460590469	0.138917687212701	0.717005835443245	0.925606786633041
ENSGMOG00000017866	0.0309077460285605	8.06397505152628	0.138904623174427	0.717018484583874	0.925606786633041
ENSGMOG00000000139	-0.0566060527760979	1.75140287379827	0.138890985809719	0.717031689572881	0.925606786633041
ENSGMOG00000001320	-0.0266429190654182	5.62483633481826	0.138832339682777	0.717088484813096	0.925606786633041
ENSGMOG00000016388	0.0245240583594591	5.12622758988425	0.138762280175431	0.717156351317684	0.925606786633041
ENSGMOG00000016708	-0.0247697471633716	6.25217085257501	0.138656403829498	0.717258950929511	0.925606786633041
ENSGMOG00000008372	0.0245965991296034	5.69774871584059	0.138612976288323	0.717301047476024	0.925606786633041
ENSGMOG00000019481	-0.0672336745423287	3.05006190119195	0.138527563674898	0.717383864443958	0.925606786633041
ENSGMOG00000017079	-0.0338906786421523	5.03364062673897	0.13849867933401	0.717411877648475	0.925606786633041
ENSGMOG00000014523	0.0356455007435156	3.52746235258434	0.138475554942484	0.717434307042127	0.925606786633041
ENSGMOG00000019977	-0.06225342811758	1.54652004326735	0.13839329395071	0.717514113162872	0.925606786633041
ENSGMOG00000010728	0.0421004832211539	8.6631734820164	0.138280599769617	0.717623488561332	0.925606786633041
ENSGMOG00000012591	-0.0409099128297501	4.1847703547779	0.138196008807798	0.71770562204028	0.925606786633041
ENSGMOG00000006799	-0.0322751732584973	5.51736016959721	0.138113864093249	0.717785408003274	0.925606786633041
ENSGMOG00000001948	-0.0388835149442554	3.21059781832155	0.138061807117064	0.717835984306459	0.925606786633041
ENSGMOG00000018784	-0.0440815168111182	5.26322365309914	0.138048711764326	0.717848708909454	0.925606786633041
ENSGMOG00000009035	0.0245890544160393	5.93585028550189	0.138032261260592	0.717864694657177	0.925606786633041
ENSGMOG00000015050	0.0444703810572555	4.69668027012745	0.138030074667118	0.717866819557944	0.925606786633041
ENSGMOG00000007670	0.05015250928729	2.07308618656377	0.137793831847449	0.718096511068941	0.925760868483981
ENSGMOG00000016189	0.0362232700291484	3.91066398530918	0.137715054453298	0.718173154176986	0.925760868483981
ENSGMOG00000009383	0.0303143345251875	6.31275897084649	0.137709768438414	0.718178297881715	0.925760868483981
ENSGMOG00000011757	-0.0755269543135934	0.767760633014712	0.137544680439293	0.718338998513764	0.925760868483981
ENSGMOG00000018933	-0.036751199004356	3.67328692961345	0.137529086402211	0.718354183851875	0.925760868483981
ENSGMOG00000018936	0.0337418335984031	3.40455353960433	0.137463920612361	0.718417652439552	0.925760868483981
ENSGMOG00000011074	0.0373193633953964	3.75116611323246	0.137340809038115	0.718537604838915	0.925760868483981
ENSGMOG00000001798	-0.0293252886516823	4.48343012892395	0.13732807786849	0.718550012836427	0.925760868483981
ENSGMOG00000002334	0.0444129733935081	3.11963078084549	0.137108474362213	0.718764145931188	0.925760868483981
ENSGMOG00000002149	0.0311782928502644	5.88535653888757	0.137016989510412	0.718853409977713	0.925760868483981
ENSGMOG00000005837	0.0235248825084973	7.18842282104186	0.136912696262199	0.718955213253466	0.925760868483981
