genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000010468	-0.900692764335123	-0.367262791929638	4.82978695745672	0.0447071025221463	0.115053498383882
ENSGMOG00000011100	-0.222006465651006	3.97855940312869	4.8294108813658	0.0447143341575851	0.115053498383882
ENSGMOG00000000669	0.56823134427685	2.21181179337908	4.82922559635417	0.044717897541089	0.115053498383882
ENSGMOG00000002302	-0.364525907505551	1.75380897810581	4.82904006016167	0.0447214660889555	0.115053498383882
ENSGMOG00000007579	0.504277877435565	1.58138019426914	4.82895853591007	0.0447230342077305	0.115053498383882
ENSGMOG00000004444	0.288983698854443	4.56924169369487	4.8263083547515	0.0447740455697193	0.115166558292203
ENSGMOG00000019579	-0.192613580738623	7.33765233313507	4.82378730518227	0.044822634708649	0.11526663045304
ENSGMOG00000001486	-0.690693657222923	-0.332656359098891	4.8235562986288	0.044827090076831	0.11526663045304
ENSGMOG00000010589	-0.197619693122275	5.89571515148676	4.82036313994853	0.0448887290013571	0.115406926264132
ENSGMOG00000008181	-0.184577996404716	6.52820606306017	4.81776966525771	0.0449388651227426	0.115508041535864
ENSGMOG00000005905	-0.444016646280324	1.11609771705175	4.81724959238083	0.0449489268880224	0.115508041535864
ENSGMOG00000010433	0.218522061675534	4.9488927289847	4.81722971671845	0.0449493114716379	0.115508041535864
ENSGMOG00000005707	0.280537003374591	5.58428614810996	4.81033739759455	0.0450829072269694	0.115833092079378
ENSGMOG00000008831	-0.561841108275978	1.65407759148439	4.80910722497822	0.0451068009556894	0.115867535091415
ENSGMOG00000006246	-0.191823683359179	7.01756594454812	4.808652990728	0.0451156273336396	0.115867535091415
ENSGMOG00000009843	0.238678651749283	6.12274737447886	4.80854986843895	0.0451176314195274	0.115867535091415
ENSGMOG00000000904	0.269264148471966	3.72818132589124	4.80654241664892	0.0451566651879262	0.115949515888053
ENSGMOG00000016937	0.311241653341617	5.14234867970239	4.80423958947089	0.0452014911533626	0.116046341246351
ENSGMOG00000006145	-0.66996313317205	0.179938512966991	4.80373872970718	0.0452112476096018	0.116053115912241
ENSGMOG00000016781	0.311449825932467	3.33397600609246	4.80038449719386	0.0452766498009238	0.116199041676842
ENSGMOG00000016768	-0.265293083739371	4.33113194741021	4.79974570510852	0.0452891178049586	0.116199041676842
ENSGMOG00000007425	0.226392873244296	6.33184119191268	4.79939284333248	0.0452960067209876	0.116199041676842
ENSGMOG00000017701	0.214248288797668	3.91542415703828	4.79936231336321	0.0452966028149651	0.116199041676842
ENSGMOG00000012202	-0.73919656698944	0.396514908638099	4.7975050757738	0.0453328824672443	0.116268799398682
ENSGMOG00000001205	-0.216851910383379	5.73244467298703	4.79724029922227	0.0453380574410807	0.116268799398682
ENSGMOG00000013898	-0.362146099025728	2.89332632776124	4.79600338196293	0.0453622417787354	0.116312525900657
ENSGMOG00000003610	-0.691056682547191	1.01910983798017	4.79417997253942	0.0453979208749393	0.11637008926652
ENSGMOG00000011776	-0.26855563568696	4.79878754781013	4.79412659470064	0.0453989658279262	0.11637008926652
ENSGMOG00000010180	0.236021147411439	4.47600670419728	4.79175768250097	0.0454453693380993	0.116470724152422
ENSGMOG00000002249	-0.25596184938713	7.48615122611035	4.79099754711985	0.0454602710627904	0.116490605010026
ENSGMOG00000011386	-0.762997177021916	-0.209525982675369	4.79009594622325	0.0454779535150791	0.116517604032584
ENSGMOG00000016662	-0.24777439868331	6.76133022508349	4.78830610554863	0.0455130802897837	0.116589281087969
ENSGMOG00000015856	-0.171432623111442	5.54410091511277	4.78760819991185	0.045526785760959	0.11660607003337
ENSGMOG00000008529	-0.487633634578938	3.13203674934635	4.78717349862034	0.0455353248720692	0.116609623376643
ENSGMOG00000006779	-0.606963789352363	0.692480670055702	4.78379475482033	0.0456017597574452	0.116761415333722
ENSGMOG00000006448	-0.853264933944258	-0.17575130576773	4.78258127231485	0.0456256477256483	0.116804237112058
ENSGMOG00000002264	0.37793412988198	2.67783299116767	4.78173386251723	0.0456423380875203	0.116821539222832
ENSGMOG00000017315	0.512549375400144	2.99758211531401	4.78151064317855	0.0456467357490748	0.116821539222832
ENSGMOG00000012977	0.404502782740879	2.43418876053159	4.7807131305703	0.0456624516681065	0.116843420346591
ENSGMOG00000001743	0.181969266347798	5.98019164359213	4.77835750741367	0.0457089090578119	0.116936933202215
ENSGMOG00000002641	-0.187333881139909	7.82572165066869	4.7780162574095	0.0457156437573792	0.116936933202215
ENSGMOG00000006763	-0.251115053925812	4.22242917865234	4.77776961515231	0.0457205120615835	0.116936933202215
ENSGMOG00000002642	-0.240902933070332	6.51658639757102	4.77713374559389	0.0457330658650641	0.116950696193518
ENSGMOG00000000688	0.184169264145007	6.82237754760389	4.77628676850786	0.0457497937896594	0.116975127448706
ENSGMOG00000013452	-0.268713822448938	5.72511322561753	4.7738635945781	0.0457976915004269	0.117079234856454
ENSGMOG00000020562	-0.334624837518696	2.91516454808866	4.77258666663797	0.045822955588929	0.117125457105736
ENSGMOG00000009276	-0.224612215351407	4.93129937716171	4.77107228083283	0.0458529389924905	0.11718372574805
ENSGMOG00000004571	-0.234658365952965	4.64225781881763	4.76655813401673	0.0459424514895777	0.117394087374638
ENSGMOG00000015477	0.42940415482523	3.45821127799265	4.76586235370999	0.0459562665743225	0.117410988168964
ENSGMOG00000004736	0.239224219388862	4.44079075879872	4.7653831567274	0.0459657841175807	0.117416905849468
ENSGMOG00000007555	-0.365925026104846	3.1921906444741	4.76298241132971	0.0460135012161819	0.117520384920089
ENSGMOG00000001318	-0.724534481166529	0.923378041600937	4.76169247220489	0.046039163987457	0.117567512735393
ENSGMOG00000000734	0.225568593010433	5.77712966363239	4.76016985440621	0.0460694774131698	0.117613026492032
ENSGMOG00000012772	0.294493966937308	5.07825940407592	4.75988607313189	0.0460751297341357	0.117613026492032
ENSGMOG00000004777	-0.197896206270313	6.15713273366226	4.75971050934532	0.0460786269997606	0.117613026492032
ENSGMOG00000004228	0.336793687209151	2.94027596511893	4.75759950230992	0.0461207030804357	0.117693231341838
ENSGMOG00000007544	-0.193742915062368	6.19396497938059	4.75740980702669	0.0461244862480432	0.117693231341838
ENSGMOG00000005080	-0.838561527862489	-0.0300817221086607	4.75624558222398	0.0461477128181567	0.117734072523869
ENSGMOG00000008290	0.24267474684522	5.29783272113311	4.75192392818131	0.046234050991887	0.117935888833341
ENSGMOG00000005576	0.204556066419553	5.04439615632946	4.74720812339242	0.046328479888062	0.11815827695524
ENSGMOG00000007687	-0.849761983005061	0.101631066450451	4.74362566456199	0.0464003660536606	0.118323110494985
ENSGMOG00000010039	0.26064807317087	7.95675572073192	4.7423701168792	0.0464255910380984	0.118368922889162
ENSGMOG00000012424	-0.221864052927046	7.48911606526851	4.74049206280459	0.0464633527351466	0.118433183981604
ENSGMOG00000007755	0.196124221646359	6.88868610132825	4.73999384120027	0.0464733764368607	0.118433183981604
ENSGMOG00000020540	-0.927014184797057	-0.480420463308671	4.73989041575501	0.0464754575675962	0.118433183981604
ENSGMOG00000007122	-0.256013867506647	4.50647570392985	4.73967217428545	0.0464798493896524	0.118433183981604
ENSGMOG00000002013	-0.561327341212164	3.00724442684422	4.73892619072282	0.0464948650044329	0.11845293342145
ENSGMOG00000015443	-0.632060213072669	0.185898561631026	4.73779658482219	0.0465176132440366	0.118476741932239
ENSGMOG00000014149	-0.415646962256981	3.5852673395319	4.73774051001797	0.046518742830432	0.118476741932239
ENSGMOG00000017052	0.653171932875195	0.233640595391514	4.7345782268413	0.0465824968707314	0.118620585893687
ENSGMOG00000014746	-0.187017862263647	6.31663320851147	4.73266126835818	0.0466211941407109	0.118700588767066
ENSGMOG00000020127	0.434616598918289	2.37474300483655	4.73074331665392	0.0466599492267265	0.118780713839465
ENSGMOG00000004160	-0.427857675346996	1.87089104150908	4.72900531131307	0.0466951008888273	0.11885164220923
ENSGMOG00000007173	0.282936196531502	4.2885803021583	4.7274549838065	0.0467264829444932	0.118912955269231
ENSGMOG00000012247	-0.169765463473701	6.38935298439943	4.72632322151275	0.0467494079480896	0.11893973329991
ENSGMOG00000000274	0.231775858406646	4.61230433009441	4.72621530252696	0.046751594646987	0.11893973329991
ENSGMOG00000000920	-0.543406831220142	7.08592109579725	4.72329263614959	0.0468108605950204	0.119071931669549
ENSGMOG00000001128	-0.253806897553849	4.88363627854723	4.72139269206802	0.0468494350385317	0.119151464405437
ENSGMOG00000010582	-0.405717391780927	2.07694053218569	4.72039539177785	0.0468696980957829	0.119179699956244
ENSGMOG00000008951	-0.460572708707772	1.60459539980041	4.72012686134614	0.0468751558306895	0.119179699956244
ENSGMOG00000001633	-0.438307681503718	2.67721575393508	4.71877119924546	0.0469027203178685	0.119220564811126
ENSGMOG00000000966	-0.331349158869323	4.03504487697731	4.71855267448137	0.0469071653317574	0.119220564811126
ENSGMOG00000008999	-0.293789153892137	4.55091561256955	4.71825779335533	0.0469131642948902	0.119220564811126
ENSGMOG00000003964	-0.53996194877961	0.843536911583786	4.71705174648033	0.0469377090858835	0.11926435197839
ENSGMOG00000016327	-0.67742139682627	0.353192522216184	4.71429090616487	0.046993952938312	0.119388657316793
ENSGMOG00000011979	-0.245223407096793	5.73880737731829	4.71328555178262	0.0470144536707862	0.119409773113571
ENSGMOG00000007580	0.220450873423589	5.70362798392469	4.71309723342882	0.0470182949409903	0.119409773113571
ENSGMOG00000015518	0.284277571051002	6.16909401167741	4.712665860027	0.0470270953753553	0.119409773113571
ENSGMOG00000002219	-0.179223159077224	7.30077548362209	4.71244712120164	0.0470315585976912	0.119409773113571
ENSGMOG00000002215	-0.195962522040631	6.16739558736402	4.71096448012526	0.04706182402898	0.119468011955865
ENSGMOG00000019407	-0.432606334849985	1.78118957686201	4.70955660556946	0.047090584403337	0.119522412623974
ENSGMOG00000003759	-0.610570328805113	1.3650595871171	4.7084821097603	0.0471125483265634	0.119544707400863
ENSGMOG00000012991	0.526886774996665	3.78531919444117	4.70840955426909	0.0471140318772121	0.119544707400863
ENSGMOG00000013557	-0.170775670000131	7.80765350293423	4.70772113186937	0.0471281108601432	0.119561824735434
ENSGMOG00000004656	-0.232487528655774	4.67094788552252	4.70693425189328	0.0471442094568889	0.119573759256924
ENSGMOG00000003841	-0.237898462113615	4.14334243691082	4.70677431977226	0.0471474822608256	0.119573759256924
ENSGMOG00000009364	-0.242025232432469	7.3259451289106	4.70606203876879	0.0471620614097735	0.119592132392902
ENSGMOG00000005499	-0.298236164297592	2.76439540311518	4.70515478274275	0.0471806390221432	0.119620637421248
ENSGMOG00000011350	-0.500477405186174	2.3164672613256	4.70459096671539	0.0471921884442354	0.11963131725486
