genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000019741	-0.0018881452064529	-0.146071534483966	2.16277237960158	0.375051116980937	0.694673675722089	0.755939213914387
ENSGMOG00000013401	0.0825633241996213	0.095197967346618	2.96746407481061	0.374393104233292	0.695105255412879	0.756302889317318
ENSGMOG00000011777	-0.147365139457429	-0.0684708385199453	1.51898177598628	0.374328252143484	0.69514780764363	0.756302889317318
ENSGMOG00000007245	-0.0759941520704377	0.0663625387716416	3.99393504400453	0.37431539703992	0.695156242785514	0.756302889317318
ENSGMOG00000019656	-0.0356391445266606	-0.051080094126294	5.8926309885337	0.374253195974573	0.695197058975377	0.756302889317318
ENSGMOG00000011285	-0.205851540676705	-0.0776943069683166	2.71419109722378	0.37403296571881	0.69534159586389	0.756408670711529
ENSGMOG00000004622	-0.0125761809092013	0.0695868863069563	3.24762640009872	0.373514165238905	0.695682221728953	0.756727733328868
ENSGMOG00000000470	0.0723205330754122	0.0706354388493135	3.24970920995146	0.373063427915964	0.695978316723606	0.756998317421247
ENSGMOG00000019518	0.012891246917754	0.156392113606114	0.614644164224038	0.372390131672809	0.69642088548243	0.757428169744239
ENSGMOG00000018490	-0.0425607866119907	-0.0503805466349777	5.64095108531148	0.372064809635669	0.696634841879044	0.757609341436873
ENSGMOG00000019647	-0.0124510031530797	0.0517467748177023	4.12852131881484	0.371588470658022	0.69694825586703	0.757898643969376
ENSGMOG00000012343	-0.115280370817839	-0.0765363552288415	1.91080361441887	0.371311401124719	0.697130632852034	0.758045420232346
ENSGMOG00000018724	-0.303789932584582	-0.155452017117534	-0.0494181176729041	0.371222275375582	0.697189310332898	0.758057677400787
ENSGMOG00000013608	0.0886494140817007	0.00158805592794059	5.65316413604116	0.371075909560788	0.697285685218991	0.758110918706614
ENSGMOG00000006517	0.0645239686164281	0.010277124714265	3.85277595398041	0.370402611023158	0.697729218970902	0.758541569145672
ENSGMOG00000000188	-0.0266407229292314	-0.0972342523444747	2.96659643078914	0.370270524950192	0.697816268696928	0.758584633088551
ENSGMOG00000015318	0.0250923663295874	-0.0430758140756777	3.60548647203896	0.369784532048658	0.698136664779038	0.758881340934103
ENSGMOG00000003146	-0.0847975382426289	-0.0466262936926255	5.13981929917024	0.369477378218234	0.698339247174736	0.75904995252659
ENSGMOG00000003066	0.0540900879541109	0.151610468108563	1.67627317768741	0.368827756648257	0.698767927562242	0.759464278505255
ENSGMOG00000019970	-0.144358546060803	-0.205419697157458	1.42563971116283	0.368727201119773	0.698834310647218	0.759484807772167
ENSGMOG00000007783	-0.0535693141516273	-0.0526928566644479	4.52571627324816	0.368276441572408	0.699131975437478	0.759756671370758
ENSGMOG00000018275	-0.0694708923576349	-0.0520998143216797	5.91197869545073	0.368161856139672	0.69920766680064	0.759787292729616
ENSGMOG00000002381	-0.0206075547617625	0.0594485526489504	3.42699957900186	0.366923965853519	0.700025982030637	0.760624820184271
ENSGMOG00000011041	-0.0146581176445404	0.0367689634438832	7.6391429647196	0.366686621113093	0.700183007029782	0.760743746800737
ENSGMOG00000000391	-0.0530121072090367	-0.0141352064565197	6.54906756836459	0.366498897693287	0.700307231946331	0.760827022627474
