genes	logFC.uvyes.oilhigh	logFC.uvyes.oillow	logCPM	F	PValue	FDR
ENSGMOG00000005825	-0.0122239750202277	0.0162643471618419	6.78931550622323	0.050765172103878	0.95063372029076	0.969687682501261
ENSGMOG00000017592	-0.0398229239794752	0.011597844669938	8.24624782543868	0.0507579348415381	0.950640562769338	0.969687682501261
ENSGMOG00000013428	0.0417168584574273	-0.00895207385685983	4.87122393758528	0.050685590304199	0.950708964000478	0.969697115907158
ENSGMOG00000002710	-0.0416486713066563	-0.0539852708596186	2.17321250159027	0.0502838268570561	0.951088927654766	0.970024313509898
ENSGMOG00000015605	0.0354606031605896	0.000830016091281392	3.73698456172153	0.0496731432154889	0.951666797745821	0.970498477884776
ENSGMOG00000015297	-0.0311843244646831	-0.0227195129364887	6.42416126762168	0.0496673937755608	0.951672240102347	0.970498477884776
ENSGMOG00000012718	0.0398783794977799	0.0340942607187609	3.55060421574212	0.0495608406522384	0.95177310835786	0.970540965744613
ENSGMOG00000005158	-0.0265184196034908	-0.0210571728141934	9.61654894714769	0.0493588165384157	0.951964386519206	0.970675635268355
ENSGMOG00000000495	0.0136973462619649	-0.0192075530971864	5.29838021527508	0.0491458735722194	0.952166048855202	0.970779909265467
ENSGMOG00000014231	-0.00805019562942991	0.0230998931954879	4.98396134217615	0.04912577112433	0.952185088823245	0.970779909265467
ENSGMOG00000019202	-0.0190012081962205	0.015497047459122	3.86478133077679	0.0490331330358256	0.952272836138806	0.970808992712901
ENSGMOG00000007033	-0.104737237617722	-0.0930532268121793	0.11565297217353	0.0488669995941508	0.952430221107415	0.970909061290582
ENSGMOG00000012383	0.053902157344747	0.0345978054118688	5.36718615566663	0.0485763919520381	0.95270559485945	0.97111768628224
ENSGMOG00000008238	0.066731964539133	0.0164197906589388	2.14990638999101	0.048525999157097	0.952753354997698	0.97111768628224
ENSGMOG00000014139	0.076519146175381	-0.00113068832671437	1.58926192548526	0.0483517742368542	0.952918498377212	0.971213688901012
ENSGMOG00000020094	-0.0380245779337532	-0.00988138149874522	4.57098958717505	0.0483016313472166	0.952966033427242	0.971213688901012
ENSGMOG00000008020	0.0587097146359358	0.110749775594992	-0.226066284300662	0.0479025062243125	0.953344494490591	0.971538996530167
ENSGMOG00000005190	0.0161440166003436	-0.0249073673628793	3.97798647517872	0.0477649905287715	0.953474929106142	0.971575358955331
ENSGMOG00000004077	0.0307601810324732	0.00344954826337431	8.5783750313986	0.0477267209138675	0.953511231625274	0.971575358955331
ENSGMOG00000001344	0.0269232498381488	0.0220249785035996	6.19512777381402	0.0476419455002915	0.953591654953589	0.971575358955331
ENSGMOG00000013134	-0.0424030027463277	-0.0262104974658657	3.27178507599532	0.0476149704972997	0.953617246726729	0.971575358955331
ENSGMOG00000005924	0.0321227226868739	0.0266781351219274	5.22687854865778	0.0473624899180864	0.953856817454142	0.971726183013878
ENSGMOG00000007125	0.0231720471866044	0.000730239603800038	6.04976609132529	0.0473340189527916	0.953883836824213	0.971726183013878
ENSGMOG00000011690	0.0383731081475235	0.00272090092816382	3.65120665242978	0.0469986299270854	0.954202189850314	0.971896545063079
ENSGMOG00000007471	0.00662999598476751	-0.0153018597945837	6.77343607754905	0.0469618249742251	0.954237132472988	0.971896545063079
ENSGMOG00000003451	-0.0682948805729442	-0.0368159912778244	0.435609463926244	0.0469328931004776	0.95426460138961	0.971896545063079
ENSGMOG00000000952	-0.000610537627094544	0.109192599241676	0.0994439923972932	0.0468324243445254	0.954359996688482	0.971896545063079
ENSGMOG00000012860	0.0723718439313186	0.0925365081056202	0.729656231652971	0.0468207054420283	0.954371124499632	0.971896545063079
ENSGMOG00000007757	-0.0558483967388954	-0.0235575146487646	4.58130837267468	0.0467831417173596	0.954406794511404	0.971896545063079
ENSGMOG00000002436	-0.0321648163642101	0.00251175478951547	3.35381934894053	0.0465966043236937	0.954583949815402	0.971937337875401
ENSGMOG00000003722	-0.0643960484043523	0.00117620659450011	2.1143304144618	0.0465593112587293	0.954619371557623	0.971937337875401
ENSGMOG00000019192	0.0122801632487086	0.0270518380825214	4.25543260010224	0.0465104147143	0.954665816736843	0.971937337875401
ENSGMOG00000012557	0.00896425849138697	-0.0175714532356288	6.36545017366157	0.0464912594586919	0.954684012350985	0.971937337875401
ENSGMOG00000014433	0.000804724506121991	0.0414765738064696	3.80192938969428	0.0463365143115602	0.954831019156112	0.972026634603872
ENSGMOG00000004963	0.0147604863717829	-0.0438598752195535	2.11860455314039	0.0462085549932945	0.954952598557681	0.972090036522358
ENSGMOG00000011777	-0.0655553799295035	-0.0339049118283164	1.62901939566558	0.0461081470216695	0.955048012304861	0.972126797001775
ENSGMOG00000016082	-0.0281222929533111	-0.0224452203930809	5.7930292980625	0.0459623528506608	0.955186573577933	0.97220746930728
ENSGMOG00000013436	0.0339320642641347	-0.00832948488664486	7.89811833509858	0.0457930020482429	0.955347550795244	0.972310945563199
ENSGMOG00000018934	0.00869980462453233	0.0628733074976026	2.36386169488287	0.0456910208844696	0.955444503981062	0.97234925215803
ENSGMOG00000006858	0.0211964040736584	0.067023557393988	2.00277179294189	0.0449044029599113	0.956192705756248	0.973050284031422
ENSGMOG00000004799	-0.0305424282668975	-0.0279497793743559	5.01023422628298	0.0448093573797943	0.956283153537326	0.973081920294065
ENSGMOG00000005698	0.0505911329840729	0.0416515316157746	2.8814871262836	0.0446592961706494	0.95642597488422	0.97316684291956
ENSGMOG00000005173	-0.0289111319306711	0.0088472618942491	4.93590524397622	0.0444619256117723	0.956613859079428	0.973297603766699
ENSGMOG00000014136	0.00922546421382073	-0.0434760246553045	2.55938748189731	0.0442710974767458	0.956795554190706	0.973374383427055
ENSGMOG00000016523	-0.00990936295211207	0.0454907723035882	1.5556088344384	0.0442312116517642	0.956833535913748	0.973374383427055
ENSGMOG00000011768	0.0441902111853369	-0.0187288526307932	2.01233126208284	0.0441807876748384	0.956881555100984	0.973374383427055
ENSGMOG00000003311	0.0331853858232407	-0.123371967226274	-0.184398216984433	0.044133245481736	0.95692683238641	0.973374383427055
ENSGMOG00000002465	0.00426627345677192	0.02660641254512	5.5036752445493	0.0440068754710389	0.957047193677788	0.973436411612581
ENSGMOG00000007345	0.0190557009143936	-0.00562598124931921	8.78416604561024	0.0438774619762044	0.957170471125747	0.973482784469993
ENSGMOG00000001785	0.00614550570081008	-0.0202789918113049	5.93133612700306	0.0437979492801786	0.9572462225114	0.973482784469993
ENSGMOG00000005622	-0.0869270551160079	-0.0373694374967392	1.81022986897745	0.0437720081557648	0.957270937940358	0.973482784469993
ENSGMOG00000018879	-0.023694112605734	0.0170339333186321	3.6164324248276	0.0436327340443243	0.957403643561264	0.973557343148675
ENSGMOG00000005124	-0.0357336633851313	0.0089430252219494	3.00919359175832	0.0434636511505726	0.9575647795099	0.973660800800508
ENSGMOG00000014604	-0.0156602603429516	0.0230929338808345	6.51827900325022	0.0432538391446046	0.957764772072388	0.973803752935723
ENSGMOG00000015535	0.108716501866506	0.150905073932317	0.183948816692316	0.0428761748175923	0.95812487791907	0.974061115820898
ENSGMOG00000000684	0.0285420472135683	-0.048273305839109	1.62370521507764	0.0428324425738315	0.958166586641672	0.974061115820898
ENSGMOG00000017061	-0.0376656446359476	-0.0364745084524575	3.7286316347686	0.0428014419397172	0.958196154073556	0.974061115820898
ENSGMOG00000009241	-0.0271454096259654	0.00480785397906771	8.31327409839371	0.0426867891173505	0.958305515121355	0.974111881278872
ENSGMOG00000018125	-0.0423016678751439	-0.0201230374303525	6.47950117593627	0.0421262981222546	0.95884033588868	0.974496971131948
ENSGMOG00000007126	0.0340192080689004	-0.0112915996929695	2.43907530672803	0.0421088034575807	0.95885703462765	0.974496971131948
ENSGMOG00000012379	-0.0378790558552124	-0.026008499783668	3.72423772567095	0.0421028743112202	0.958862694098598	0.974496971131948
ENSGMOG00000002126	-0.0302135959618706	-0.0214041951445157	6.14410491476438	0.0417636813380832	0.959186521189423	0.97476564638635
ENSGMOG00000006268	-0.00769797020223522	-0.0475577575389074	2.01462535339733	0.041556650237775	0.959384233065442	0.974873126882641
ENSGMOG00000007741	-0.0268469414171854	-0.0303569226400542	7.44577833015994	0.0415283932358379	0.95941122161884	0.974873126882641
ENSGMOG00000007042	0.0474338477068072	0.0477756320703316	2.3112156264039	0.0412803750314862	0.959648142459028	0.974943295311599
ENSGMOG00000005120	0.0112962924708569	-0.0134334798615841	4.86786329622309	0.0412740657104897	0.959654170320305	0.974943295311599
ENSGMOG00000013756	0.0554644553413496	0.0353397796622559	5.75074839078698	0.0412693281272702	0.959658696586833	0.974943295311599
ENSGMOG00000012724	-0.0116358457144809	0.0208426175231089	3.87345250077053	0.0411955316970527	0.959729204431391	0.974954505065613
ENSGMOG00000013793	-0.180880919385084	-0.232660144197397	1.99241752456205	0.0411070109927899	0.959813787965518	0.974980011532949
ENSGMOG00000012818	-0.0599571632068879	-0.0606118333431036	1.42001963727121	0.0407504724079565	0.960154552288792	0.975265727471973
ENSGMOG00000012567	-0.0334522975032606	0.0238248454486811	2.22460838856789	0.0406082227302486	0.960290545853867	0.975343427396681
ENSGMOG00000005486	0.0421845674251791	0.0927740424491919	0.99567316517338	0.0403635761096829	0.960524482885551	0.975520590294458
ENSGMOG00000016359	0.0364557759704003	0.106286218988818	-0.00270625286822452	0.0402707470546396	0.960613264804953	0.975550319040242
ENSGMOG00000013215	0.0289499740824237	0.00439279826965303	3.73076419797422	0.0401810491530855	0.960699060720126	0.975577011855604
ENSGMOG00000010839	0.0392882569819237	0.066268806279889	1.76018064756074	0.0398124662207583	0.961051698910178	0.975839668682598
ENSGMOG00000013576	0.0946064318215858	0.12672988617472	-0.175498467701239	0.0397785760548447	0.961084130201294	0.975839668682598
ENSGMOG00000012582	-0.000134282557757113	-0.0302909262594795	3.55380729091637	0.0397240669346378	0.961136295403479	0.975839668682598
ENSGMOG00000018088	0.103903862217759	0.0679285291217083	0.00523009051538104	0.0396288780989263	0.961227398597359	0.975871725101041
ENSGMOG00000009993	0.0514847558303699	0.0363883469920424	2.89623632402745	0.0394197052270337	0.961427627085763	0.975991859576963
ENSGMOG00000009285	-0.0145863522934553	-0.0383926115624231	2.90561612926781	0.0391941811237804	0.961643559392289	0.975991859576963
ENSGMOG00000017694	0.0380053041692245	-0.0178140361214295	1.71958242244679	0.0391858065115824	0.961651578857437	0.975991859576963
ENSGMOG00000011278	-0.0297737286018709	-0.0299440582226035	5.51562791781993	0.0391385704057441	0.96169681318204	0.975991859576963
ENSGMOG00000000845	0.0202053919702552	0.0306818886728997	6.45885206496245	0.0391351749561104	0.96170006482945	0.975991859576963
ENSGMOG00000013962	0.0318326310243482	0.0196969860047535	4.87898196750176	0.0391321591183915	0.961702952952277	0.975991859576963
ENSGMOG00000005148	0.0436733991157862	-0.0170608478919368	1.28984755304804	0.0387521383193337	0.96206695752267	0.976261021256366
ENSGMOG00000006857	-0.0157856942196905	0.0150265562443587	4.99858615134949	0.0387309252422948	0.962087281058781	0.976261021256366
ENSGMOG00000001019	0.0350752228693589	0.0262508924057982	4.27717300227723	0.0384258306387318	0.962379634573453	0.976497236293799
ENSGMOG00000007431	0.0230480592103949	0.0141897316551209	6.08785103560169	0.0381725027876761	0.962622457975082	0.976569554735789
ENSGMOG00000018997	0.0205274830112947	0.023912191266417	4.60046635315485	0.0381456860984678	0.962648166661414	0.976569554735789
ENSGMOG00000008229	-0.0131025709322893	0.0473579848410412	1.5798189517744	0.0381098724417354	0.962682501768098	0.976569554735789
ENSGMOG00000000260	0.0248369744058634	0.00282652482599234	7.36589021617371	0.038102889182679	0.962689196884667	0.976569554735789
ENSGMOG00000007887	0.0134356116198206	-0.0547731327029909	0.377780772108189	0.0375289638189069	0.963239617406883	0.976954176037346
