genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000018417	0.704129418613804	0.212305116890944	-0.211282179361319	5.03201854722442	0.0243528840466552	0.117285919932685
ENSGMOG00000009044	-0.886893099485967	-0.302614978998801	1.68334578134607	5.03156294020566	0.0243591036188877	0.117285919932685
ENSGMOG00000009566	0.0824141090850789	0.255649391933797	4.45783706605225	5.03078076694715	0.0243697854868914	0.117302325664515
ENSGMOG00000012235	0.244207461589093	0.155147159927472	4.93220503897773	5.03020466957909	0.0243776565106403	0.117305195832311
ENSGMOG00000017626	-0.234783234061098	-0.221942504641259	4.64689343118072	5.02802714886029	0.024407433795696	0.11738803350972
ENSGMOG00000007241	-0.572688323644692	-0.422801004513165	1.96631928088677	5.02752804028185	0.0244142649554719	0.11738803350972
ENSGMOG00000009380	-0.430844499166404	-0.38279630896483	1.26240002027915	5.02687415812315	0.0244232178023398	0.11738803350972
ENSGMOG00000010750	0.607129654725051	0.619013503252803	0.756574869642891	5.0267448513111	0.0244249886992939	0.11738803350972
ENSGMOG00000003715	-0.255390878089508	-0.091543010604159	7.13234711854368	5.02628623958399	0.0244312707261159	0.11738803350972
ENSGMOG00000015074	-0.190338286061763	-0.0945341590135248	6.14889374420351	5.02571823440422	0.0244390538047265	0.117390450581238
ENSGMOG00000006707	0.710432826109646	0.0969652098805213	-0.0446285694703202	5.0226396568903	0.0244812878398344	0.117558298516179
ENSGMOG00000014196	0.527840903389912	0.275873951246639	1.37008932181558	5.01915741018999	0.0245291614008749	0.117753119258442
ENSGMOG00000004469	-0.234642692083713	-0.0950947865404033	7.83636522660396	5.01807742575075	0.024544030890732	0.117789433962218
ENSGMOG00000004673	0.641576058089407	0.516826384487595	0.187948346819782	5.01604504730274	0.024572041434744	0.117866141947622
ENSGMOG00000019141	-0.269067284155817	-0.00680958428543451	3.91123285501819	5.01585709042593	0.0245746337505678	0.117866141947622
ENSGMOG00000015190	-0.210086986663594	-0.0777916792476314	5.5392160401722	5.01209864032802	0.0246265370037739	0.118079961101949
ENSGMOG00000004988	0.443876787853035	0.34862983490163	1.65785476573986	5.00809825725575	0.0246819205486393	0.118304391674659
ENSGMOG00000014809	0.74641569077982	0.266519840412274	-0.0469775873154015	5.00765666178084	0.024688043062394	0.118304391674659
ENSGMOG00000012794	-0.231694900420522	-0.131065074893709	4.47979755248798	5.00671299481538	0.0247011324461009	0.118304391674659
ENSGMOG00000002044	0.543036449550259	0.256474747431748	2.04023960393312	5.00660069588463	0.0247026906523148	0.118304391674659
ENSGMOG00000012834	0.285239857375843	0.372868908113633	2.82614710127176	5.00604006394015	0.0247104714124594	0.118306517673963
ENSGMOG00000004135	-0.226402098870576	-0.0824737234864892	4.61414608938209	5.00416986982433	0.0247364474940028	0.118395730436567
ENSGMOG00000009310	-0.413096689936624	-0.523846765676532	2.06213699187028	5.00330707287126	0.0247484419599772	0.118417990090395
ENSGMOG00000015757	0.501023312681277	0.162407685990271	1.37328384779073	5.00001673844747	0.024794245408083	0.11856468864143
ENSGMOG00000002332	0.758022520599007	0.101969466291775	-0.0587774737274949	4.99999810131319	0.0247945051272041	0.11856468864143
ENSGMOG00000007285	-0.248315394437202	-0.0398649417317938	4.86962130907786	4.99952067796403	0.0248011593666694	0.11856468864143
ENSGMOG00000000583	-0.293347582100284	-0.192709288789731	7.99936092286362	4.99566099086462	0.024855030844522	0.118787010186105
ENSGMOG00000016215	0.189280410828447	0.209622691633171	3.90227428711785	4.99381569021481	0.0248808343601852	0.118839952593864
