ID	sample_1	sample_2	sample_3
ENSGMOG00000000406	2858	3903	4459
ENSGMOG00000000407	14310	18436	23115
ENSGMOG00000000408	694	767	1132
ENSGMOG00000000409	32	19	22
ENSGMOG00000000410	25	5	32
ENSGMOG00000000411	6	11	21
ENSGMOG00000000412	411	440	758
ENSGMOG00000000413	1907	2570	3313
ENSGMOG00000000414	1615	1797	2582
ENSGMOG00000000415	22	28	53
ENSGMOG00000000416	7664	10338	12942
ENSGMOG00000000417	675	794	1144
ENSGMOG00000000418	10	8	12
ENSGMOG00000000419	11	14	19
ENSGMOG00000000420	418	332	607
ENSGMOG00000000421	5476	7534	9156
ENSGMOG00000000422	2730	2937	4032
ENSGMOG00000000423	4	4	2
ENSGMOG00000000424	1466	1570	2511
ENSGMOG00000000425	32	23	38
ENSGMOG00000000426	135	154	201
ENSGMOG00000000427	1825	2116	3307
ENSGMOG00000000428	9	4	2
ENSGMOG00000000429	2185	2477	3692
ENSGMOG00000000430	55	36	75
ENSGMOG00000000431	2	0	2
ENSGMOG00000000432	325	351	510
ENSGMOG00000000433	147	129	211
ENSGMOG00000000434	5524	5339	8921
ENSGMOG00000000435	8	18	40
ENSGMOG00000000436	970	1906	1571
ENSGMOG00000000437	3465	3478	5673
ENSGMOG00000000438	429	533	648
ENSGMOG00000000439	1816	2253	3253
ENSGMOG00000000440	979	1405	1876
ENSGMOG00000000441	29	35	30
ENSGMOG00000000442	5	10	19
ENSGMOG00000000443	120	129	233
ENSGMOG00000000444	603	582	1099
ENSGMOG00000000445	123	91	127
ENSGMOG00000000446	3888	4256	6089
ENSGMOG00000000447	6	8	6
ENSGMOG00000000448	17	13	43
ENSGMOG00000000449	1145	1211	1733
ENSGMOG00000000450	2	2	6
ENSGMOG00000000451	160	207	302
ENSGMOG00000000452	812	716	1162
ENSGMOG00000000453	101	133	231
ENSGMOG00000000454	14	18	16
ENSGMOG00000000455	574	536	903
ENSGMOG00000000456	34	43	79
ENSGMOG00000000457	426	440	653
ENSGMOG00000000458	3112	3788	5003
ENSGMOG00000000459	1550	2323	2678
ENSGMOG00000000460	1115	1259	2037
ENSGMOG00000000461	1	1	1
ENSGMOG00000000462	127	153	207
ENSGMOG00000000463	437	431	735
ENSGMOG00000000464	252	226	417
ENSGMOG00000000465	1760	2324	3038
