ID	sample_10	sample_11	sample_12
ENSGMOG00000000410	12	41	3
ENSGMOG00000000411	8	19	5
ENSGMOG00000000412	820	943	447
ENSGMOG00000000413	1539	1581	1084
ENSGMOG00000000414	1951	2328	1305
ENSGMOG00000000415	32	25	25
ENSGMOG00000000416	30825	33449	20718
ENSGMOG00000000417	827	972	598
ENSGMOG00000000418	9	15	8
ENSGMOG00000000419	6	5	6
ENSGMOG00000000420	303	334	207
ENSGMOG00000000421	3845	4884	2747
ENSGMOG00000000422	2965	3534	2111
ENSGMOG00000000423	4	3	0
ENSGMOG00000000424	2347	2576	1666
ENSGMOG00000000425	44	42	42
ENSGMOG00000000426	47	58	26
ENSGMOG00000000427	2630	3117	1824
ENSGMOG00000000428	24	9	17
ENSGMOG00000000429	3253	3694	2372
ENSGMOG00000000430	84	111	66
ENSGMOG00000000431	2	2	1
ENSGMOG00000000432	542	600	328
ENSGMOG00000000433	404	461	215
ENSGMOG00000000434	6832	9328	5217
ENSGMOG00000000435	168	137	71
ENSGMOG00000000436	1381	1365	868
ENSGMOG00000000437	4368	5641	2849
ENSGMOG00000000438	809	821	522
ENSGMOG00000000439	2770	2953	1645
ENSGMOG00000000440	1126	1311	751
ENSGMOG00000000441	49	42	29
ENSGMOG00000000442	8	22	2
ENSGMOG00000000443	217	259	195
ENSGMOG00000000444	677	713	418
ENSGMOG00000000445	116	122	58
ENSGMOG00000000446	8871	9690	5775
ENSGMOG00000000447	19	6	21
ENSGMOG00000000448	33	49	15
ENSGMOG00000000449	1998	2531	1420
ENSGMOG00000000450	41	26	11
ENSGMOG00000000451	114	113	80
ENSGMOG00000000452	799	1048	467
ENSGMOG00000000453	216	276	158
ENSGMOG00000000454	34	36	25
ENSGMOG00000000455	1037	912	569
ENSGMOG00000000456	68	52	53
ENSGMOG00000000457	643	706	443
ENSGMOG00000000458	7745	8857	5419
ENSGMOG00000000459	3317	3363	1928
ENSGMOG00000000460	1781	2236	1210
ENSGMOG00000000461	2	1	2
ENSGMOG00000000462	86	126	78
ENSGMOG00000000463	682	894	450
ENSGMOG00000000464	379	512	271
ENSGMOG00000000465	2107	2203	1370
ENSGMOG00000000466	0	0	0
ENSGMOG00000000467	2039	2496	1545
ENSGMOG00000000468	1	0	1
ENSGMOG00000000469	179	178	99
ENSGMOG00000000470	590	784	451
ENSGMOG00000000471	4	6	2
ENSGMOG00000000472	31	31	18
ENSGMOG00000000473	2149	2457	1516
ENSGMOG00000000474	737	864	449
ENSGMOG00000000475	1027	1254	776
ENSGMOG00000000476	20232	22982	14568
ENSGMOG00000000477	420	420	270
ENSGMOG00000000478	43	57	45
ENSGMOG00000000479	731	948	544
ENSGMOG00000000480	695	927	440
ENSGMOG00000000481	1196	1305	739
ENSGMOG00000000482	963	1071	609
ENSGMOG00000000483	12660	14213	8379
ENSGMOG00000000484	105	152	59
ENSGMOG00000000485	42	35	31
ENSGMOG00000000486	192	160	133
ENSGMOG00000000487	5392	6396	4076
ENSGMOG00000000488	1978	2365	1253
ENSGMOG00000000489	23	30	13
ENSGMOG00000000490	0	0	0
ENSGMOG00000000491	22	17	19
ENSGMOG00000000492	2002	2465	1415
ENSGMOG00000000493	2	0	1
ENSGMOG00000000494	236	287	137
ENSGMOG00000000495	2447	2820	1757
ENSGMOG00000000496	22	26	9
ENSGMOG00000000497	47	50	36
ENSGMOG00000000498	53	39	30
ENSGMOG00000000499	8	15	5
ENSGMOG00000000500	2002	2417	1365
ENSGMOG00000000501	27014	33968	19183
ENSGMOG00000000502	29	29	22
ENSGMOG00000000503	19	9	9
ENSGMOG00000000504	17	46	4
ENSGMOG00000000505	1148	1373	792
ENSGMOG00000000506	8970	10888	6492
ENSGMOG00000000507	12	17	10
ENSGMOG00000000508	11682	13814	8016
ENSGMOG00000000509	9	6	16
ENSGMOG00000000510	5045	5556	3725
ENSGMOG00000000511	8574	9773	6181
ENSGMOG00000000512	2392	2981	1600
ENSGMOG00000000513	8185	10206	5735
ENSGMOG00000000514	2061	2167	1439
ENSGMOG00000000515	867	1209	710
ENSGMOG00000000516	287	279	168
ENSGMOG00000000517	567	761	357
ENSGMOG00000000518	459	481	356
ENSGMOG00000000519	1796	2183	1304
ENSGMOG00000000520	3143	3054	2034
ENSGMOG00000000521	3399	3986	2368
ENSGMOG00000000522	235	232	147
ENSGMOG00000000523	1230	1493	908
ENSGMOG00000000524	1611	1809	1069
ENSGMOG00000000525	6628	7013	4064
ENSGMOG00000000526	14956	17410	10421
ENSGMOG00000000527	154	108	85
ENSGMOG00000000528	1693	1911	1126
ENSGMOG00000000529	55	36	49
ENSGMOG00000000530	618	647	381
ENSGMOG00000000531	630	629	439
ENSGMOG00000000532	3957	4771	2916
ENSGMOG00000000533	7	9	2
ENSGMOG00000000534	10504	10709	7565
ENSGMOG00000000535	3881	4860	2688
ENSGMOG00000000536	1281	1306	758
ENSGMOG00000000537	0	4	0
ENSGMOG00000000538	7984	8069	5354
ENSGMOG00000000539	2807	3399	2048
ENSGMOG00000000540	6138	7757	4356
ENSGMOG00000000541	14482	14770	9241
ENSGMOG00000000542	1000	1366	823
ENSGMOG00000000543	49	35	20
ENSGMOG00000000544	440	460	323
ENSGMOG00000000545	3112	3660	2539
ENSGMOG00000000546	47	63	30
ENSGMOG00000000547	1	6	6
ENSGMOG00000000548	81447	84956	50727
ENSGMOG00000000549	7404	8387	4375
ENSGMOG00000000550	105	225	100
ENSGMOG00000000551	499	435	243
ENSGMOG00000000552	1944	1944	1231
ENSGMOG00000000553	723	821	470
ENSGMOG00000000554	3978	4732	2759
ENSGMOG00000000555	6251	5247	3423
ENSGMOG00000000556	289	365	184
ENSGMOG00000000557	1948	2152	1357
ENSGMOG00000000558	1	0	0
ENSGMOG00000000559	15564	16912	10520
ENSGMOG00000000560	4020	4587	2808
ENSGMOG00000000561	12129	15167	9672
ENSGMOG00000000562	0	0	0
ENSGMOG00000000563	15278	20333	10768
ENSGMOG00000000564	1160	1286	815
ENSGMOG00000000565	495	697	350
ENSGMOG00000000566	881	1004	619
ENSGMOG00000000567	26	22	22
ENSGMOG00000000568	60	112	55
ENSGMOG00000000569	7859	8318	5070
ENSGMOG00000000570	267	338	188
ENSGMOG00000000571	2371	2117	1806
ENSGMOG00000000572	1315	1563	988
ENSGMOG00000000573	126	126	91
ENSGMOG00000000574	57	35	43
ENSGMOG00000000575	817	1029	554
ENSGMOG00000000576	390	438	196
ENSGMOG00000000577	832	1128	570
ENSGMOG00000000578	2275	2818	1456
ENSGMOG00000000579	4	8	1
ENSGMOG00000000580	1978	1891	1185
ENSGMOG00000000581	1539	1879	988
ENSGMOG00000000582	1	4	2
ENSGMOG00000000583	16470	19187	10647
ENSGMOG00000000584	1319	1348	921
ENSGMOG00000000585	100	109	74
ENSGMOG00000000586	33	59	22
ENSGMOG00000000587	5614	6408	3675
ENSGMOG00000000588	8	0	2
ENSGMOG00000000589	3237	4133	2227
ENSGMOG00000000590	3	1	3
ENSGMOG00000000591	1101	1149	616
ENSGMOG00000000592	567	641	354
ENSGMOG00000000593	48	62	12
ENSGMOG00000000594	33	50	36
ENSGMOG00000000595	6516	7683	4137
ENSGMOG00000000596	975	1014	649
ENSGMOG00000000597	3029	2918	1245
ENSGMOG00000000598	1690	1955	1305
ENSGMOG00000000599	35	54	18
ENSGMOG00000000600	5102	6299	3500
ENSGMOG00000000601	44	26	38
ENSGMOG00000000602	950	971	517
ENSGMOG00000000603	3692	4184	2354
ENSGMOG00000000604	19	15	10
ENSGMOG00000000605	358	421	307
ENSGMOG00000000606	1057	1212	641
ENSGMOG00000000607	7	45	32
ENSGMOG00000000608	13864	15405	9538
ENSGMOG00000000609	9585	11113	6604
ENSGMOG00000000610	975	1035	643
ENSGMOG00000000611	3	3	0
ENSGMOG00000000612	6607	8013	4572
ENSGMOG00000000613	12	10	11
ENSGMOG00000000614	2221	3043	1366
ENSGMOG00000000615	3573	5343	2776
ENSGMOG00000000616	60	52	41
ENSGMOG00000000617	3023	3127	1994
ENSGMOG00000000618	10	28	14
ENSGMOG00000000619	1125	1347	710
ENSGMOG00000000620	45	43	39
ENSGMOG00000000621	164	148	100
ENSGMOG00000000622	918	1068	714
ENSGMOG00000000623	17271	19397	11473
ENSGMOG00000000624	9778	10313	6207
ENSGMOG00000000625	235	278	157
ENSGMOG00000000626	1666	1510	1068
ENSGMOG00000000627	1040	1341	654
ENSGMOG00000000628	114	100	104
ENSGMOG00000000629	2	6	5
ENSGMOG00000000630	89	110	41
ENSGMOG00000000631	676	767	459
ENSGMOG00000000632	435	599	339
ENSGMOG00000000633	26	34	24
ENSGMOG00000000634	62	59	27
ENSGMOG00000000635	837	1037	548
ENSGMOG00000000636	0	1	0
ENSGMOG00000000637	11334	11983	7591
ENSGMOG00000000638	590	597	456
ENSGMOG00000000639	55	86	38
ENSGMOG00000000640	0	0	0
ENSGMOG00000000641	488	587	264
ENSGMOG00000000642	3046	3585	2052
ENSGMOG00000000643	970	1207	580
ENSGMOG00000000644	8355	8984	5679
ENSGMOG00000000645	0	2	4
ENSGMOG00000000646	455	473	351
ENSGMOG00000000647	384	445	326
ENSGMOG00000000648	1901	1874	1214
ENSGMOG00000000649	1005	1147	732
ENSGMOG00000000650	815	894	624
ENSGMOG00000000651	5	5	3
ENSGMOG00000000652	2357	2869	1578
ENSGMOG00000000653	630	762	491
ENSGMOG00000000654	341	420	198
ENSGMOG00000000655	0	0	0
ENSGMOG00000000656	819	962	558
ENSGMOG00000000657	19	4	15
ENSGMOG00000000658	1370	1717	992
ENSGMOG00000000659	2595	2874	1837
ENSGMOG00000000660	2540	2923	1723
ENSGMOG00000000661	61	59	66
ENSGMOG00000000662	590	668	383
ENSGMOG00000000663	2079	2823	1587
ENSGMOG00000000664	10808	12484	7578
ENSGMOG00000000665	19	42	9
ENSGMOG00000000666	3872	4639	2677
ENSGMOG00000000667	20	10	1
ENSGMOG00000000668	39	24	10
ENSGMOG00000000669	353	260	203
ENSGMOG00000000670	4842	5495	2812
ENSGMOG00000000671	80	96	45
ENSGMOG00000000672	195	245	130
ENSGMOG00000000673	1358	1648	961
ENSGMOG00000000674	24	24	8
ENSGMOG00000000675	9368	10086	6664
ENSGMOG00000000676	68	107	51
ENSGMOG00000000677	6	22	7
ENSGMOG00000000678	149	178	92
ENSGMOG00000000679	15	33	4
ENSGMOG00000000680	663	701	435
ENSGMOG00000000681	222	234	129
ENSGMOG00000000682	3915	4845	2820
ENSGMOG00000000683	33	37	11
ENSGMOG00000000684	190	208	131
ENSGMOG00000000685	869	1034	463
ENSGMOG00000000686	4	4	0
ENSGMOG00000000687	357	314	208
ENSGMOG00000000688	8953	10498	5657
ENSGMOG00000000689	360	529	267
ENSGMOG00000000690	383	325	180
ENSGMOG00000000691	436	696	284
ENSGMOG00000000692	24	17	12
ENSGMOG00000000693	674	762	447
ENSGMOG00000000694	279	343	222
ENSGMOG00000000695	348	436	257
ENSGMOG00000000696	6	4	6
ENSGMOG00000000697	13	10	7
ENSGMOG00000000698	3	3	0
ENSGMOG00000000699	1298	1576	831
ENSGMOG00000000700	3	3	5
ENSGMOG00000000701	746	855	500
ENSGMOG00000000702	129	151	83
ENSGMOG00000000703	726	531	442
ENSGMOG00000000704	20	58	12
ENSGMOG00000000705	6534	6148	4104
ENSGMOG00000000706	2412	2653	1399
ENSGMOG00000000707	97	89	121
ENSGMOG00000000708	67	69	44
ENSGMOG00000000709	34	36	23
ENSGMOG00000000710	2445	2696	1678
ENSGMOG00000000711	256	307	167
ENSGMOG00000000712	103	168	73
ENSGMOG00000000713	754	951	509
ENSGMOG00000000714	0	0	2
ENSGMOG00000000715	1337	1667	897
ENSGMOG00000000716	160	201	97
ENSGMOG00000000717	2432	2924	1802
ENSGMOG00000000718	14800	15565	10939
ENSGMOG00000000719	3044	4025	2063
ENSGMOG00000000720	20	14	0
ENSGMOG00000000721	76	114	74
ENSGMOG00000000722	264	287	154
ENSGMOG00000000723	32	53	18
ENSGMOG00000000724	3198	3850	2226
ENSGMOG00000000725	1109	1182	731
ENSGMOG00000000726	160	222	70
