ID	sample_16	sample_17	sample_18
ENSGMOG00000000452	835	633	529
ENSGMOG00000000453	231	159	140
ENSGMOG00000000454	23	21	9
ENSGMOG00000000455	509	687	767
ENSGMOG00000000456	26	43	30
ENSGMOG00000000457	539	463	344
ENSGMOG00000000458	4678	4914	3707
ENSGMOG00000000459	2041	2072	1556
ENSGMOG00000000460	1622	1261	786
ENSGMOG00000000461	3	0	0
ENSGMOG00000000462	120	104	83
ENSGMOG00000000463	593	471	433
ENSGMOG00000000464	299	227	224
ENSGMOG00000000465	2156	2263	1655
ENSGMOG00000000466	0	0	0
ENSGMOG00000000467	2329	1651	1635
ENSGMOG00000000468	1	1	0
ENSGMOG00000000469	205	172	158
ENSGMOG00000000470	582	470	396
ENSGMOG00000000471	2	6	2
ENSGMOG00000000472	30	12	20
ENSGMOG00000000473	1808	1509	1403
ENSGMOG00000000474	535	612	388
ENSGMOG00000000475	966	704	703
ENSGMOG00000000476	11502	9623	8881
ENSGMOG00000000477	339	343	247
ENSGMOG00000000478	98	69	54
ENSGMOG00000000479	771	651	523
ENSGMOG00000000480	436	469	352
ENSGMOG00000000481	715	619	506
ENSGMOG00000000482	622	819	580
ENSGMOG00000000483	12018	12414	8087
ENSGMOG00000000484	183	147	112
ENSGMOG00000000485	118	57	34
ENSGMOG00000000486	195	171	125
ENSGMOG00000000487	1823	1402	1389
ENSGMOG00000000488	1847	1681	1273
ENSGMOG00000000489	17	20	15
ENSGMOG00000000490	0	0	0
ENSGMOG00000000491	15	19	7
ENSGMOG00000000492	1701	1425	1362
ENSGMOG00000000493	1	0	0
ENSGMOG00000000494	182	227	127
ENSGMOG00000000495	2213	2150	1588
ENSGMOG00000000496	8	8	12
ENSGMOG00000000497	56	23	33
ENSGMOG00000000498	32	49	42
ENSGMOG00000000499	5	13	11
ENSGMOG00000000500	1373	1240	1030
ENSGMOG00000000501	24215	21095	16944
ENSGMOG00000000502	19	26	30
ENSGMOG00000000503	9	12	15
ENSGMOG00000000504	6	0	2
ENSGMOG00000000505	1075	957	743
ENSGMOG00000000506	6895	5757	4911
ENSGMOG00000000507	6	12	4
ENSGMOG00000000508	8148	6891	5899
ENSGMOG00000000509	7	4	7
ENSGMOG00000000510	3789	3196	2815
ENSGMOG00000000511	8412	8118	6042
ENSGMOG00000000512	1643	1644	1197
ENSGMOG00000000513	8227	6998	5958
ENSGMOG00000000514	1156	1113	915
ENSGMOG00000000515	879	518	584
ENSGMOG00000000516	235	234	120
ENSGMOG00000000517	474	574	468
ENSGMOG00000000518	413	275	330
ENSGMOG00000000519	1751	1384	1297
ENSGMOG00000000520	2408	2022	1606
ENSGMOG00000000521	3185	3315	2292
ENSGMOG00000000522	183	164	174
ENSGMOG00000000523	963	755	651
ENSGMOG00000000524	1738	1712	1305
ENSGMOG00000000525	5489	5732	3897
ENSGMOG00000000526	15240	14399	10458
ENSGMOG00000000527	101	33	107
ENSGMOG00000000528	1447	1238	1100
ENSGMOG00000000529	36	27	27
ENSGMOG00000000530	538	507	328
ENSGMOG00000000531	595	433	394
ENSGMOG00000000532	3770	3170	2712
ENSGMOG00000000533	8	6	1
ENSGMOG00000000534	7762	7529	5892
ENSGMOG00000000535	3479	2962	2390
ENSGMOG00000000536	1020	1011	810
ENSGMOG00000000537	0	1	0
ENSGMOG00000000538	5897	5635	4277
ENSGMOG00000000539	2688	2068	1935
ENSGMOG00000000540	5895	5029	4674
ENSGMOG00000000541	9268	9288	6340
ENSGMOG00000000542	1023	781	676
ENSGMOG00000000543	13	14	17
ENSGMOG00000000544	385	388	284
ENSGMOG00000000545	2381	1973	1626
ENSGMOG00000000546	49	52	36
ENSGMOG00000000547	8	12	8
ENSGMOG00000000548	73916	80609	49049
ENSGMOG00000000549	7174	7313	4708
ENSGMOG00000000550	87	93	50
ENSGMOG00000000551	566	441	415
ENSGMOG00000000552	1345	1370	993
